scenario_index,topology_type,simulated_event,line_length_multiplier,f1_load_demand_kw,f2_load_demand_kw,f3_load_demand_kw,feeder1_voltage_mag_kv,feeder2_voltage_mag_kv,feeder3_voltage_mag_kv,feeder1_current_amp,feeder2_current_amp,feeder3_current_amp,transformer1_current_amp,transformer2_current_amp,transformer3_current_amp,transformer1_loss_kw,transformer2_loss_kw,transformer3_loss_kw,peak_transient_voltage_v,peak_transient_current_a,voltage_thd_percent,current_thd_percent,transient_decay_ms
0,radial,steady_state,1.0,118.02,187.56,171.11,0.2166,0.194,0.19,135.74,138.17,100.19,135.74,138.17,100.19,0.1904,0.1973,0.1037,339.41,70.71,0.5,2.0,0.0
1,radial,transformer_energization,1.126,147.64,162.2,203.43,0.2127,0.1986,0.1896,151.7,124.08,99.42,151.7,124.09,99.42,0.2378,0.1591,0.1021,331.89,401.14,0.5,2.0,15.0
2,ring,capacitor_switching,1.136,147.22,135.22,237.96,0.2098,0.2061,0.1876,157.47,106.3,102.86,157.47,106.3,102.86,0.2562,0.1168,0.1093,438.41,86.45,0.5,2.0,15.0
3,radial,motor_starting,1.021,124.31,104.62,232.12,0.2158,0.2065,0.1852,139.91,103.57,108.28,139.91,103.57,108.28,0.2023,0.1108,0.1212,286.85,413.72,0.5,2.0,0.0
4,radial,temporary_fault,0.886,93.92,125.3,229.54,0.2206,0.2014,0.1819,118.07,119.25,115.82,118.07,119.25,115.82,0.1441,0.1469,0.1386,390.32,707.11,5.0,35.0,0.0
5,radial,nonlinear_load,0.856,92.95,160.63,202.82,0.2206,0.1953,0.1834,117.76,136.65,113.52,117.76,136.65,113.52,0.1433,0.1929,0.1332,336.86,78.69,2.0,15.0,0.0
6,radial,steady_state,0.958,115.66,199.54,177.8,0.2169,0.192,0.1884,135.09,144.05,103.44,135.09,144.05,103.44,0.1886,0.2144,0.1106,339.41,70.71,0.5,2.0,0.0
7,ring,transformer_energization,1.099,141.4,171.77,151.87,0.2085,0.2026,0.194,162.34,116.31,92.18,162.34,116.31,92.18,0.2723,0.1398,0.0878,331.89,401.14,0.5,2.0,15.0
8,radial,capacitor_switching,1.148,142.79,121.52,124.89,0.2135,0.2046,0.1985,148.06,107.96,84.25,148.06,107.96,84.25,0.2265,0.1204,0.0734,438.41,86.45,0.5,2.0,15.0
9,radial,motor_starting,1.062,119.7,111.94,111.17,0.2167,0.2055,0.1997,135.35,106.26,83.08,135.36,106.26,83.08,0.1893,0.1167,0.0713,286.85,413.72,0.5,2.0,0.0
10,radial,temporary_fault,0.918,93.86,128.67,115.31,0.2207,0.2013,0.1971,117.42,119.72,89.25,117.42,119.72,89.25,0.1425,0.1481,0.0823,390.32,707.11,5.0,35.0,0.0
11,radial,nonlinear_load,0.85,90.14,162.48,142.88,0.2212,0.195,0.191,115.21,137.76,100.61,115.21,137.76,100.61,0.1372,0.1961,0.1046,336.86,78.69,2.0,15.0,0.0
12,ring,steady_state,0.92,117.01,193.33,182.26,0.2087,0.1995,0.187,162.14,126.44,106.2,162.14,126.44,106.2,0.2717,0.1652,0.1166,339.41,70.71,0.5,2.0,0.0
13,radial,transformer_energization,1.063,150.52,179.32,196.43,0.212,0.1958,0.1888,155.88,132.35,101.4,155.88,132.35,101.4,0.2511,0.181,0.1062,331.89,401.14,0.5,2.0,15.0
14,radial,capacitor_switching,1.149,142.66,131.21,246.91,0.2134,0.203,0.1874,147.89,112.0,103.13,147.89,112.0,103.13,0.226,0.1296,0.1099,438.41,86.45,0.5,2.0,15.0
